| ITERATION REPORT  |
|10.02.2021 21:46:20|
_____________________
Iteration 1
---------------------
Cluster 1
Centroid X:28,7307692307692
Centroid Y:31,75
PointID:168 X:36 Y:87
PointID:169 X:32 Y:87
PointID:170 X:40 Y:87
PointID:171 X:28 Y:87
PointID:172 X:36 Y:87
PointID:173 X:36 Y:87
PointID:174 X:52 Y:88
PointID:175 X:30 Y:88
PointID:176 X:58 Y:88
PointID:177 X:27 Y:88
PointID:178 X:59 Y:93
PointID:179 X:35 Y:93
PointID:180 X:37 Y:97
PointID:181 X:32 Y:97
PointID:182 X:46 Y:98
PointID:183 X:29 Y:98
PointID:184 X:41 Y:99
PointID:185 X:30 Y:99
PointID:186 X:54 Y:101
PointID:187 X:28 Y:101
PointID:188 X:41 Y:103
PointID:189 X:36 Y:103
PointID:190 X:34 Y:103
PointID:191 X:32 Y:103
PointID:192 X:33 Y:113
PointID:193 X:38 Y:113
PointID:194 X:47 Y:120
PointID:195 X:35 Y:120
PointID:196 X:45 Y:126
PointID:197 X:32 Y:126
PointID:198 X:32 Y:137
PointID:199 X:30 Y:137

_____________________
